id,author_id,text,topic
92002898-1636-42ba-a077-ab74fe9293b8,844932007075500034,believe needs said secret service agents deleted text covering trump need,trump
f32ccbf0-5a26-4436-8776-85efaa6492b9,2764052433,big lie leaders state party investigated signing onto fake,trump
0e1729be-7eb9-48d0-8d9d-344cd5447da3,1443021423006687232,talk crimes shall jim,trump
b68df8ad-5f51-4509-a6ca-4f5ead85e059,2433869705,words bugs bunny think hasnt little slice heaven hasnt byefelicia,trump
7e843f58-7b95-4f13-a2b2-735aee18d5b0,2983227758,trump administrations push add census citizenship question pa secret strategy alter population,trump
123e79c6-b785-4a56-847a-8165ee29b710,3885926898,honestly think biden worse even trump predicted,trump
551bdde3-dcc7-4b7b-8731-ea7a03d198b1,1520318628272422912,welcome president trump love character,trump
b38c0dd5-7eab-4c2d-9b26-f67eaed2341b,865941026980147200,funny reporter thinks job offer advice theres even pretense impartiality,trump
53b1d4b8-742c-4818-a23e-02b6198bc1b3,23991082,presidential staff historian trumps elevation hyperloyalist tony ornato secret service,trump
e49d3a36-6a8e-4048-a17e-9b1e34ed54b9,1269070500082450437,trump take ornato secret service make white house deputy chief staff,trump
d88205b0-75a6-411d-b26e-22f5d48aa59d,3242016476,president trump make america great president biden deal food shortages,trump
6445c7b5-0d9f-426b-a89f-87d948cf035d,1328373106533085185,butler county one three suburban collar counties cincinnati dems perform best oxford,trump
a8f886e6-efea-46b8-b3f3-1f8ec477cd32,1433962541105876995,even tell difference face ukraine money laundering flag,trump
e5c08c95-90e5-46a4-a2fd-9a9a99fbe5e0,303850691,president truth social tweet minutes ago seen anything like january,trump
89a140d4-d329-4ae8-a614-66e215efc937,1439408437058838532,name eric lynn democratic nominee one competitive races america served senior,trump
63add0fa-f680-40cc-8d6d-8a75d61dfdab,42321684,abbreviated list people trumps circle died violent untimely deaths often,trump
35aa3ede-6c21-4a13-af31-2ebe2dc039cc,1361365916697702400,actually fascists orange cult made white christian nationalist terror capitol world real facts false alternate reality back cave magat,trump
6f64a734-2646-4fef-8d16-4742eacff072,345236505,george conways entire life crying trump imagine living kind sad existence,trump
286ab40f-2123-4fed-ae39-b175aaeca52f,1101826111380566017,president truth social tweet minutes ago seen anything like january,trump
f34de03f-8415-4ce3-b38e-d336da300336,1464256124891369475,politicians law hillary jail never testified oath illegal server destroyed phones hard drives caused death ambassador bought paid phony steele dossier,trump
11b33ba3-b9d6-4fea-9065-32302806bad9,17237127,breaking doj continue investigate regardless whether donald declares candidacy,trump
b74acee0-820c-40b6-bd4a-132f40acadc8,116022135,gas prices never averaged entire year term bidengashike,trump
5e9aac65-b3ba-455a-a5b0-c355e84b0b7e,1432696685554110464,accountability justice,trump
b781ab10-d29f-4700-8b14-cdf341f8c69c,4258152605,get involved relationships choose options mine choose,trump
a94b217c-d57a-4900-a6c4-f1075c84a15b,1067598603554824192,mystery solved doj secretly thwarted release russia documents declassified trump news,trump
f7ace825-b23b-4537-b6f9-6263dea07843,1509643397413445637,kohler put golf course youd cry even harder wiunion wiright wipolitics,trump
740e5cc6-8f22-48fa-a0be-08a62776433a,1008180798116245504,new memos emails obtained house confirm trump failed push census,trump
a6c4a387-7486-433c-a63a-8b64f299f275,14245232,scope fulton county grand jury probe attempt overturn election came clearer focus,trump
38aec72e-d589-41c3-b5a1-eb025c423ca1,1093061690,todays committee memo pulls back curtain shameful conduct shows clearly trump administration secretly tried manipulate census political gain lying public congress goals,trump
7409fa44-52b5-4725-9a5a-049a4f619ae0,1411720642370568197,prosecutor declined charge colbe threw book protesters trump weighs via,trump
3f713a82-95d3-4acc-9b6b-74c86faefdb5,2980406223,isnt perry one asked trump pardon take seriously hasnt arrested,trump
